Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,,
Suriname,0.730,70.3,13.0,9.8,"12,672",-6,,
Uzbekistan,0.730,70.9,12.5,11.9,"7,917",18,,
Dominica,0.727,72.8,13.3,8.1,"11,488",0,,
Jordan,0.720,74.3,10.6,10.4,"9,924",8,,
Libya,0.720,71.9,12.9,7.6,"15,336",-27,,
Paraguay,0.718,70.3,13.0,8.9,"12,349",-10,,
"Palestine, State of",0.717,73.5,13.4,9.9,"6,583",21,,
Saint Lucia,0.715,71.1,12.9,8.5,"12,048",-7,,
Guyana,0.715,65.7,12.5,8.6,"22,465",-47,,
South Africa,0.714,62.3,13.6,11.4,"12,948",-17,,
Jamaica,0.713,70.5,13.4,9.2,"8,834",4,,
Samoa,0.709,72.8,12.4,11.4,"5,308",24,,
Gabon,0.707,65.8,13.0,9.4,"13,367",-25,,
Lebanon,0.706,75.0,11.3,8.7,"9,526",-1,,
Indonesia,0.706,67.6,13.7,8.6,"11,466",-11,,
Viet Nam,0.705,73.6,13.0,8.4,"7,867",6,,
Philippines,0.703,69.3,13.1,9.0,"8,920",-3,,
Botswana,0.699,61.1,12.3,10.3,"16,198",-43,,
Bolivia (Plurinational State of),0.693,63.6,14.9,9.8,"8,111",0,,
Kyrgyzstan,0.692,70.0,13.2,11.4,"4,566",26,,
Venezuela (Bolivarian Republic of),0.692,70.6,12.8,11.1,"4,811",20,,
Iraq,0.691,70.4,12.1,7.9,"9,977",-12,,
Tajikistan,0.686,71.6,11.7,11.3,"4,548",23,,
Belize,0.685,70.5,13.0,8.8,"6,309",6,,
Morocco,0.683,74.0,14.2,5.9,"7,303",1,,
El Salvador,0.683,70.7,12.7,7.2,"8,296",-8,,
Nicaragua,0.675,73.8,12.6,7.1,"5,625",6,,
Bhutan,0.667,71.8,13.2,5.2,"9,438",-15,,
Cabo Verde,0.666,74.1,12.6,6.3,"6,230",2,,
Bangladesh,0.662,72.4,12.4,7.4,"5,472",4,,
Tuvalu,0.661,64.5,9.4,10.6,"6,351",-2,,
Marshall Islands,0.641,65.3,10.2,10.9,"4,620",12,,
India,0.639,67.2,11.9,6.7,"6,590",-6,,
Ghana,0.633,63.8,12.0,8.3,"5,745",-2,,
Micronesia (Federated States of),0.632,70.7,11.5,7.8,"3,696",22,,
Guatemala,0.628,69.2,10.6,5.7,"8,723",-20,,
Kiribati,0.627,67.4,11.8,8.0,"4,063",14,,
Honduras,0.624,70.1,10.1,7.1,"5,298",-1,,
Sao Tome and Principe,0.621,67.6,13.4,6.2,"4,021",13,,
Namibia,0.618,59.3,11.9,7.2,"8,634",-23,,
Lao People's Democratic Republic,0.615,68.1,10.1,5.4,"7,700",-18,,
Timor-Leste,0.607,67.7,12.6,5.4,"4,461",7,,
Vanuatu,0.607,70.4,11.5,7.1,"3,085",23,,
Nepal,0.607,68.4,12.9,5.1,"3,877",10,,
Eswatini (Kingdom of),0.602,57.1,13.7,5.6,"7,679",-21,,
Equatorial Guinea,0.597,60.6,9.7,5.9,"12,074",-47,,
Cambodia,0.596,69.6,11.5,5.1,"4,079",3,,
Zimbabwe,0.593,59.3,12.1,8.7,"3,810",9,,
Angola,0.593,61.6,12.2,5.4,"5,466",-14,,
Myanmar,0.586,65.7,10.9,6.4,"3,851",5,,
Syrian Arab Republic,0.585,72.1,9.2,5.1,"4,192",-2,,
Cameroon,0.577,60.3,13.1,6.2,"3,621",6,,
Kenya,0.576,61.4,10.7,6.7,"4,474",-6,,
Congo,0.575,63.5,12.3,6.2,"2,889",11,,
Zambia,0.571,61.2,10.9,7.2,"3,218",7,,
Solomon Islands,0.565,70.3,10.3,5.7,"2,482",13,,
Comoros,0.564,63.4,11.9,5.1,"3,142",6,,
Papua New Guinea,0.558,65.4,10.4,4.7,"4,009",-4,,
Mauritania,0.558,64.4,9.4,4.9,"5,075",-20,,
C™te d'Ivoire,0.556,58.6,10.7,5.2,"5,217",-22,,
Tanzania (United Republic of),0.550,66.2,9.2,6.4,"2,664",7,,
Pakistan,0.549,66.1,8.7,4.5,"4,624",-19,,
Togo,0.544,61.6,13.0,5.0,"2,167",12,,
Haiti,0.539,63.2,9.7,5.6,"2,848",2,,
Nigeria,0.535,52.7,10.1,7.2,"4,790",-22,,
Rwanda,0.535,66.1,11.2,4.4,"2,210",6,,
Benin,0.534,59.8,10.8,4.3,"3,409",-7,,
Uganda,0.525,62.7,10.1,5.7,"2,181",6,,
Lesotho,0.525,53.1,12.0,6.0,"2,700",-2,,
Malawi,0.514,62.9,12.7,4.5,"1,466",13,,
Senegal,0.512,67.1,9.0,2.9,"3,344",-10,,
Djibouti,0.511,62.3,7.4,4.1,"5,025",-32,,
Sudan,0.509,65.3,7.9,3.8,"3,575",-14,,
Madagascar,0.508,64.5,10.1,5.1,"1,484",8,,
Gambia,0.501,62.1,9.4,4.6,"2,172",-1,,
Ethiopia,0.500,65.0,9.7,3.2,"2,361",-5,,
Eritrea,0.498,66.5,8.1,4.9,"1,729",3,,
Guinea-Bissau,0.492,59.7,10.6,3.6,"1,908",0,,
Liberia,0.483,60.7,10.4,5.1,"1,289",7,,
Congo (Democratic Republic of the),0.481,59.2,9.8,7.0,"1,076",9,,
Afghanistan,0.479,62.0,10.3,3.0,"1,824",-2,,
Sierra Leone,0.478,60.1,9.6,4.6,"1,622",-1,,
Guinea,0.477,58.9,9.8,2.2,"2,481",-13,,
Yemen,0.465,63.8,9.1,3.2,"1,314",1,,
Burkina Faso,0.455,59.3,9.1,2.1,"2,118",-8,,
Mozambique,0.449,59.3,10.2,3.2,"1,198",2,,
Mali,0.446,58.9,7.4,2.3,"2,133",-11,,
Burundi,0.428,61.7,10.7,3.1,732,4,,
Central African Republic,0.426,53.9,8.0,4.3,966,1,,
Niger,0.404,61.6,7.0,2.1,"1,240",-3,,
Chad,0.400,52.5,8.0,2.6,"1,364",-7,,
South Sudan,0.394,55.0,5.5,5.7,768,-1,,
Korea (Democratic People's Rep. of),0.385,73.3,10.8,..,..,..,,
Monaco,..,85.9,..,..,..,..,,
Nauru,..,63.6,11.7,..,"17,730",..,,
Somalia,..,55.3,..,..,"1,018",..,,
,..,,,,,,,
,,,,,,,,
